               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039219,             0.22304,                   0,             0.95499,             0.93377,             0.97513,             0.63558,               0.033,             0.21711,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.03914,             0.22347,                   0,             0.95914,             0.92765,             0.97529,             0.63725,            0.032862,             0.21662,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.039093,             0.22675,                   0,             0.95507,             0.93619,             0.97561,             0.63566,            0.033021,             0.21734,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.039032,              0.2263,                   0,             0.95754,              0.9324,             0.97625,             0.63833,            0.032859,             0.21615,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.038993,             0.22478,                   0,             0.95484,             0.93373,             0.97606,             0.63568,             0.03308,             0.21777,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.038856,             0.22101,                   0,             0.95517,              0.9367,               0.976,             0.63929,             0.03286,             0.21715,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.038752,             0.22084,                   0,             0.95637,             0.93529,             0.97626,             0.63852,            0.032873,             0.21595,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.038715,             0.22201,                   0,             0.95743,             0.93583,             0.97696,             0.64161,             0.03263,             0.21503,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.038501,             0.21658,                   0,             0.95692,             0.93442,             0.97632,             0.63885,            0.032751,             0.21581,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.038562,             0.22159,                   0,             0.95881,             0.93301,             0.97672,             0.64303,            0.032581,              0.2146,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.038485,             0.22111,                   0,             0.95792,              0.9348,             0.97653,             0.64272,            0.032517,             0.21452,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.038705,             0.22486,                   0,             0.95708,             0.93828,             0.97743,             0.64139,            0.032675,             0.21506,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.038428,             0.22229,                   0,             0.95763,             0.93916,             0.97741,             0.64532,            0.032406,             0.21447,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.038474,             0.22108,                   0,             0.95791,             0.93497,             0.97707,             0.64136,            0.032591,             0.21463,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.038357,             0.22194,                   0,             0.95702,             0.94029,             0.97794,             0.64452,            0.032403,             0.21402,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.03806,             0.21801,                   0,             0.95833,             0.93855,             0.97828,             0.64734,            0.032317,             0.21347,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.038348,             0.22266,                   0,             0.95867,             0.93814,             0.97802,             0.64778,            0.032214,             0.21314,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.037898,              0.2185,                   0,             0.95968,             0.94021,             0.97882,             0.64841,            0.032206,             0.21276,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.038191,              0.2208,                   0,             0.95969,             0.94057,             0.97899,             0.64796,            0.032166,             0.21236,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.038261,             0.22302,                   0,             0.95792,             0.93943,             0.97811,              0.6458,            0.032374,             0.21287,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.038051,             0.22089,                   0,             0.95931,             0.93913,             0.97783,             0.64724,             0.03221,              0.2124,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.037882,             0.22112,                   0,             0.95857,             0.94073,             0.97875,             0.64969,            0.032122,             0.21221,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.037981,              0.2198,                   0,             0.96066,             0.94012,             0.97858,              0.6477,            0.032189,             0.21221,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.03775,             0.21836,                   0,             0.96182,             0.93708,             0.97884,             0.65152,            0.031958,             0.21087,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.037989,             0.21912,                   0,             0.95944,             0.93736,             0.97883,             0.65128,             0.03195,             0.21085,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.037876,             0.22242,                   0,             0.96052,             0.94177,              0.9794,             0.65087,            0.031985,             0.21092,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.037722,             0.21814,                   0,             0.95924,             0.94565,             0.97967,             0.65076,            0.032077,             0.21215,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.037643,             0.21979,                   0,             0.96153,             0.94158,             0.97961,             0.65135,            0.031945,              0.2105,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.037697,             0.21711,                   0,             0.96027,             0.94287,             0.97965,             0.65399,            0.031819,             0.20986,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.037688,             0.21901,                   0,             0.95968,             0.94442,             0.97937,             0.65441,            0.031779,             0.20987,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.037529,             0.21823,                   0,             0.96065,             0.94283,              0.9802,             0.65321,            0.031842,              0.2101,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.037433,              0.2167,                   0,             0.96083,             0.94498,             0.98084,             0.65524,            0.031762,             0.20964,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.037131,             0.21442,                   0,             0.96117,             0.94363,             0.97999,             0.65713,            0.031687,             0.20905,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.037405,             0.21699,                   0,             0.96121,             0.94488,             0.98025,              0.6561,            0.031666,             0.20919,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.037207,             0.21585,                   0,             0.96117,              0.9443,             0.98036,             0.65726,            0.031618,             0.20874,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03738,             0.21922,                   0,             0.96176,             0.94422,             0.98035,             0.65878,            0.031548,             0.20837,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.037132,             0.21484,                   0,             0.96312,             0.94379,             0.98078,             0.65882,            0.031553,             0.20846,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.037209,             0.21714,                   0,             0.96094,             0.94609,             0.98073,             0.65772,            0.031601,             0.20862,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.037236,             0.21907,                   0,             0.96191,              0.9469,             0.98073,             0.66031,            0.031456,             0.20804,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.036986,             0.21465,                   0,             0.96307,             0.94585,             0.98088,             0.66071,            0.031382,             0.20741,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.037105,             0.21498,                   0,             0.96207,             0.94504,             0.98085,             0.66014,            0.031434,             0.20768,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.037128,             0.21593,                   0,             0.96333,             0.94754,             0.98113,             0.66016,            0.031432,             0.20767,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.036918,             0.21437,                   0,             0.96319,             0.94815,              0.9813,             0.66192,            0.031367,             0.20716,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.036933,             0.21425,                   0,             0.96376,             0.94738,             0.98136,             0.66221,            0.031342,             0.20722,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.036956,             0.21732,                   0,             0.96337,             0.94955,             0.98144,             0.66062,              0.0314,             0.20761,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.036889,             0.21664,                   0,             0.96331,             0.94953,              0.9817,             0.66394,            0.031228,             0.20636,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.036667,              0.2137,                   0,             0.96524,             0.94542,             0.98176,             0.66451,             0.03119,             0.20592,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.036679,             0.21527,                   0,             0.96426,             0.94794,             0.98178,             0.66459,            0.031176,             0.20592,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.036482,             0.21233,                   0,             0.96514,             0.94722,             0.98223,             0.66604,             0.03111,             0.20546,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.036772,             0.21252,                   0,             0.96494,             0.94942,             0.98211,             0.66494,            0.031136,             0.20562,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.036532,             0.21208,                   0,             0.96316,             0.95086,             0.98227,              0.6647,            0.031162,             0.20557,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.03638,             0.21228,                   0,             0.96488,              0.9496,             0.98208,             0.66598,            0.031064,             0.20507,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.036617,             0.21511,                   0,             0.96564,             0.94897,             0.98245,             0.66624,            0.031098,             0.20496,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.036512,             0.21244,                   0,             0.96467,             0.94999,              0.9822,             0.66627,            0.031072,             0.20485,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.036474,             0.21257,                   0,             0.96407,             0.95103,             0.98229,             0.66776,            0.031012,              0.2048,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.036516,             0.21729,                   0,             0.96506,             0.95121,             0.98267,             0.66813,            0.030942,             0.20427,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.03619,             0.21064,                   0,             0.96533,             0.95047,              0.9824,             0.66874,            0.030925,             0.20409,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.03626,             0.21051,                   0,             0.96613,              0.9498,             0.98262,             0.66855,            0.030903,             0.20389,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.036361,             0.21459,                   0,             0.96556,             0.95112,             0.98298,              0.6691,            0.030897,             0.20382,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.036093,             0.21083,                   0,             0.96625,              0.9502,             0.98265,             0.66929,            0.030889,             0.20371,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.036268,             0.21293,                   0,             0.96606,             0.95138,             0.98286,             0.66914,            0.030874,             0.20358,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.03609,             0.20994,                   0,             0.96575,             0.95094,             0.98308,             0.66978,            0.030857,              0.2033,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.036093,             0.21107,                   0,             0.96587,             0.95272,             0.98316,             0.67014,            0.030824,             0.20327,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.036233,             0.21255,                   0,             0.96566,             0.95279,             0.98294,             0.67054,            0.030799,             0.20316,                   0,            0.000298,            0.000298,            0.000298
