               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088679,             0.27024,                   0,             0.44827,             0.71802,             0.53197,             0.21468,            0.058165,             0.27686,                   0,             0.07014,           0.0033178,           0.0033178
                   1,            0.060834,             0.25933,                   0,             0.83117,               0.811,              0.8735,             0.39446,            0.051117,             0.25805,                   0,            0.040074,           0.0065852,           0.0065852
                   2,            0.055564,             0.26039,                   0,             0.79855,             0.85715,             0.86287,             0.40657,            0.046355,             0.25798,                   0,           0.0099425,           0.0097867,           0.0097867
                   3,            0.051647,             0.25426,                   0,             0.93498,             0.89207,             0.95197,             0.53479,            0.040868,             0.24813,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048136,             0.24864,                   0,             0.93303,             0.90053,             0.95494,             0.51698,            0.042024,             0.24474,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.046239,             0.24674,                   0,             0.93938,             0.90482,             0.95723,             0.51055,            0.040998,             0.24142,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.045224,             0.24294,                   0,             0.93965,             0.91851,             0.96399,             0.57035,            0.037249,             0.24106,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.044577,             0.24169,                   0,             0.93901,             0.91583,             0.96333,              0.5517,            0.038508,             0.23866,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.04432,             0.24021,                   0,             0.94433,             0.91734,             0.96577,             0.57272,            0.037432,             0.23459,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.043339,             0.23878,                   0,             0.94557,              0.9175,             0.96732,             0.58865,             0.03638,             0.23319,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043279,             0.23627,                   0,             0.94296,             0.92154,             0.96624,              0.5807,            0.036679,             0.23476,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.042972,             0.23695,                   0,             0.94712,             0.92172,             0.96747,             0.58457,            0.035923,              0.2311,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.042407,             0.23747,                   0,             0.94859,             0.91974,             0.96916,             0.60522,            0.035128,             0.22826,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.041981,             0.23566,                   0,             0.94995,             0.91966,             0.96969,             0.60455,            0.035208,             0.22698,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.041948,             0.23386,                   0,             0.94882,             0.92557,             0.97076,             0.60847,            0.035022,             0.22666,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041455,             0.23381,                   0,             0.95356,             0.91942,             0.97065,             0.61149,             0.03468,             0.22566,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.041291,              0.2308,                   0,             0.94995,             0.91881,             0.96981,             0.60484,            0.035082,             0.22717,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.041285,             0.23202,                   0,             0.95228,             0.92581,             0.97159,             0.60956,            0.034524,             0.22466,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.041049,             0.23092,                   0,             0.95255,             0.91896,             0.97001,             0.61797,            0.034314,             0.22378,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.040856,             0.22887,                   0,             0.95075,             0.92924,             0.97194,             0.61463,            0.034326,              0.2246,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.040853,             0.23171,                   0,             0.94702,             0.92973,             0.97144,             0.61648,            0.034462,              0.2262,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.040657,             0.23067,                   0,             0.95261,             0.92494,             0.97244,             0.62102,            0.034206,             0.22269,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.040365,             0.22772,                   0,             0.95314,             0.92958,             0.97305,             0.62233,            0.033897,             0.22188,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.040277,             0.22906,                   0,              0.9538,             0.93102,             0.97339,              0.6244,            0.033892,             0.22188,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.040252,             0.22824,                   0,             0.95673,             0.92593,             0.97419,             0.62463,            0.033922,             0.22168,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.040051,              0.2249,                   0,             0.95115,             0.93109,             0.97326,             0.62059,              0.0341,             0.22318,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.039978,             0.22964,                   0,             0.95659,             0.92317,             0.97262,              0.6263,            0.033693,             0.22071,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.040191,             0.23013,                   0,             0.95444,             0.93119,             0.97376,             0.62283,            0.033764,             0.22086,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.039796,              0.2277,                   0,             0.95466,             0.93148,              0.9742,             0.62459,             0.03367,             0.22073,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.039627,             0.22614,                   0,              0.9555,              0.9315,             0.97467,             0.62808,            0.033496,             0.22031,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.039655,             0.22642,                   0,             0.95346,             0.93325,             0.97412,             0.63113,            0.033307,              0.2193,                   0,            0.007129,            0.007129,            0.007129
                  31,             0.03971,              0.2283,                   0,             0.95598,             0.92954,              0.9742,             0.62847,             0.03342,             0.21837,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.039713,             0.22886,                   0,             0.95471,             0.92831,             0.97434,             0.62839,            0.033458,             0.21942,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.039609,             0.22734,                   0,             0.95514,              0.9321,             0.97526,             0.63186,            0.033335,             0.21985,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.039257,             0.22474,                   0,             0.95426,             0.93291,             0.97476,             0.62724,            0.033485,             0.22013,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.039257,              0.2236,                   0,             0.95492,             0.93006,             0.97541,             0.63239,            0.033207,             0.21765,                   0,            0.006634,            0.006634,            0.006634
